,행정동코드,일평균
0,11110515,16025.018248498327
1,11110530,22147.739260734143
2,11110540,5303.159267519465
3,11110550,14590.571359510564
4,11110560,18691.428864293655
5,11110570,6973.850821023359
6,11110580,7776.911737263626
7,11110600,6356.622892436039
8,11110615,52237.48835506117
9,11110630,15090.175444493878
10,11110640,22405.029267408227
11,11110650,27212.360502113454
12,11110670,8204.014954838707
13,11110680,9461.931153392656
14,11110690,4877.505865183537
15,11110700,8235.444332480532
16,11110710,12816.652234593988
17,11140520,23722.670959510564
18,11140540,21584.23405539488
19,11140550,27908.820850500553
20,11140570,10425.793666740821
21,11140580,10312.230708008896
22,11140590,19939.335514349274
23,11140605,15767.87315328142
24,11140615,21390.553704783088
25,11140625,14239.320313793101
26,11140635,15364.845616017792
27,11140645,11814.350695439372
28,11140650,10589.807020689652
29,11140665,9131.786868520578
30,11140670,12496.724735928805
31,11140680,8871.653056840933
32,11170510,13880.867299443824
33,11170520,12034.329601557283
34,11170530,14158.400601557283
35,11170555,21054.133702224684
36,11170560,20960.393637931025
37,11170570,14958.994831034477
38,11170580,10190.131032591766
39,11170590,8843.193504449386
40,11170625,44518.537014460504
41,11170630,27448.941803559504
42,11170640,7371.425680422692
43,11170650,10886.223135261398
44,11170660,11184.877474193545
45,11170685,30630.74123414905
46,11170690,16410.368623692986
47,11170700,10560.33968876529
48,11200520,14181.201102558394
49,11200535,30478.26854082313
50,11200540,22104.48010934371
51,11200550,20043.05430189098
52,11200560,18140.462707341485
53,11200570,21296.324679199104
54,11200580,10659.97351334816
55,11200590,16880.7541708565
56,11200615,20356.827144827577
57,11200620,13023.773327586203
58,11200645,28396.49898186874
59,11200650,18669.166127363733
60,11200660,19813.825572413785
61,11200670,19957.19204293659
62,11200690,31339.688120355942
63,11200720,10884.629092880976
64,11200790,19940.58763570633
65,11215710,33754.6181817575
66,11215730,18983.788273414903
67,11215740,15643.78230088987
68,11215750,18710.625334149052
69,11215760,15190.23165873192
70,11215770,25083.88918286985
71,11215780,14700.328476640707
72,11215810,36219.06980789766
73,11215820,24398.594992547267
74,11215830,21490.98189899888
75,11215840,23823.509364182417
76,11215847,23262.104607119014
77,11215850,24975.151574416013
78,11215860,21538.190995439374
79,11215870,30366.630464849826
80,11230536,36677.143192324795
81,11230545,32689.760809121242
82,11230560,31746.406970300326
83,11230570,16674.345451501664
84,11230600,22731.609823692983
85,11230610,22906.344833370407
86,11230650,34149.387959399326
87,11230660,27991.30641034482
88,11230705,18253.834580422685
89,11230710,18215.599397441598
90,11230720,16427.847938264735
91,11230730,19559.25433704115
92,11230740,22034.120393659618
93,11230750,15700.758463070071
94,11260520,20737.161617241374
95,11260540,16733.17270244716
96,11260550,10664.0806814238
97,11260565,27707.923612458282
98,11260570,20510.609501890984
99,11260575,20198.12965528364
100,11260580,18525.795706896548
101,11260590,24953.377031034477
102,11260600,17025.040665406
103,11260610,25617.52761501668
104,11260620,26410.10923704115
105,11260630,18513.221416351495
106,11260655,36211.67582391546
107,11260660,12511.73047074527
108,11260680,34049.00073170188
109,11260690,18236.459506117902
110,11290525,21261.81053181312
111,11290555,24610.87698375973
112,11290575,24163.131638598436
113,11290580,13359.56976963292
114,11290590,14541.957589877637
115,11290600,22826.141296440484
116,11290610,15623.364926918794
117,11290620,14053.305247497214
118,11290630,20074.715512569517
119,11290640,14471.69004048943
120,11290650,18328.57628898776
121,11290660,35252.666095884306
122,11290685,15858.228664404889
123,11290705,38566.085802113455
124,11290715,22496.35246351501
125,11290725,23434.59597808676
126,11290760,21625.240539154613
127,11290770,11643.480734149052
128,11290780,6570.94161423804
129,11290810,27599.743301112343
130,11305534,23946.693527808668
131,11305535,21537.081085205777
132,11305545,35005.71514438264
133,11305555,26654.46506206896
134,11305575,23184.301148387087
135,11305590,18934.408866963287
136,11305600,14262.435242269185
137,11305606,16128.117560066736
138,11305610,18642.039708565066
139,11305620,19586.577096440487
140,11305630,27350.635202892096
141,11305645,18721.83294293659
142,11305660,29787.531824026693
143,11320511,23187.58302614015
144,11320512,27899.617688654056
145,11320513,11065.669082536147
146,11320514,29020.147861401554
147,11320515,20828.624998109004
148,11320521,17921.48486140155
149,11320522,20448.875215572854
150,11320660,17184.405884872074
151,11320670,17765.047774193543
152,11320680,15470.830799443824
153,11320681,14018.50819110122
154,11320690,23775.909299110117
155,11320700,12692.518955506115
156,11320710,21612.30419543937
157,11350560,23164.035254505
158,11350570,20636.344806785313
159,11350580,26730.013536929913
160,11350595,42594.2379766407
161,11350600,40481.9925253615
162,11350611,27141.269393325907
163,11350612,13195.604694994432
164,11350619,22148.18747908787
165,11350621,26815.836815350383
166,11350624,17081.139445828692
167,11350625,34084.2330195773
168,11350630,39155.65263103448
169,11350640,28694.696019911004
170,11350665,21691.91803058954
171,11350670,19545.67574771968
172,11350695,47874.7984820912
173,11350700,17739.57868642936
174,11350710,18986.159552614008
175,11350720,13288.13293370411
176,11380510,34243.91230077863
177,11380520,32475.81836718576
178,11380530,22577.531582091207
179,11380551,23953.422307786426
180,11380552,22361.265431924352
181,11380560,25839.839734482757
182,11380570,34687.3217817575
183,11380580,26772.549026473855
184,11380590,16268.529684538371
185,11380600,23646.29839621801
186,11380625,42816.29999510567
187,11380631,24333.545849165734
188,11380632,14927.379471857614
189,11380640,12273.972144493879
190,11380650,11195.085390322576
191,11380690,62917.937907897656
192,11410520,15725.47802447163
193,11410555,35432.888229588425
194,11410565,37112.42756751946
195,11410585,47447.856043047825
196,11410615,38035.68425261401
197,11410620,24148.497968854277
198,11410640,15479.617771190207
199,11410655,9524.640298776416
200,11410660,14575.57010177975
201,11410685,25325.04234427141
202,11410690,14947.812221023354
203,11410700,22166.81342258064
204,11410710,14525.311349388207
205,11410720,33297.00977586206
206,11440555,26103.84995906562
207,11440565,38104.123250723016
208,11440585,18260.98494883203
209,11440590,30442.418717018903
210,11440600,21121.232232146824
211,11440610,12423.043812791988
212,11440630,18034.084209232475
213,11440655,25014.364717686312
214,11440660,61947.072241601774
215,11440680,21616.092996662952
216,11440690,20193.275767185754
217,11440700,18367.8429625139
218,11440710,19335.603745606222
219,11440720,21366.49040022246
220,11440730,35536.71402925472
221,11440740,45623.01731334816
222,11470510,45839.01725294771
223,11470520,22981.93886774193
224,11470530,18192.623547497213
225,11470540,18651.779111457166
226,11470550,39945.80667897664
227,11470560,15774.466091657394
228,11470570,15610.100680200218
229,11470580,14283.86367530589
230,11470590,12007.554670522799
231,11470600,8696.489018464958
232,11470610,5233.348138153503
233,11470611,15375.571216462733
234,11470620,19261.93152547274
235,11470630,12899.768768965514
236,11470640,39919.03301468297
237,11470650,33294.19097775305
238,11470670,20840.746749499438
239,11470680,22604.329754454335
240,11500510,32196.74456391982
241,11500520,23367.395975835185
242,11500530,16803.948406236075
243,11500535,38862.398782182616
244,11500540,46244.447553229395
245,11500550,13571.624093652557
246,11500560,19706.416633518926
247,11500570,17948.682034409794
248,11500590,30200.76744220489
249,11500591,20329.127940089078
250,11500593,27152.61667527839
251,11500603,48433.72885567928
252,11500604,15012.452077950999
253,11500605,11257.966312917591
254,11500611,34792.811578173714
255,11500615,35107.38361915367
256,11500620,34002.60699387527
257,11500630,32105.40531124721
258,11500640,23896.373541982175
259,11500641,17381.375847327392
260,11530510,32574.319341982176
261,11530520,17165.26009710467
262,11530530,32875.45525623608
263,11530540,38093.379147550106
264,11530550,17519.287635523382
265,11530560,30753.521141870813
266,11530595,11416.50991213808
267,11530720,21856.454835857454
268,11530730,17947.76253307349
269,11530740,29255.305819599103
270,11530750,24343.25991915367
271,11530760,16306.641526057903
272,11530770,15185.43843864142
273,11530780,51571.68659242761
274,11530790,22435.274089643644
275,11545510,55933.34196492204
276,11545610,34253.75251592427
277,11545620,15040.296647438749
278,11545630,20845.89373229398
279,11545640,11970.164653452113
280,11545670,27275.178285634738
281,11545680,16061.054649999996
282,11545690,10025.51262717149
283,11545700,12483.675543541198
284,11545710,12034.565100445432
285,11560515,18709.676166926496
286,11560535,49669.19900412026
287,11560540,81043.48574866368
288,11560550,23614.352440757233
289,11560560,35317.05370868596
290,11560585,14192.442443429842
291,11560605,39108.57411670378
292,11560610,18871.525082962133
293,11560620,28906.7813150334
294,11560630,17463.465219376387
295,11560650,13536.40258719376
296,11560660,7687.330804231626
297,11560670,6728.515172717149
298,11560680,23367.29629342984
299,11560690,14061.05049721603
300,11560700,17463.143438752777
301,11560710,17633.337692873047
302,11560720,24699.022201781732
303,11590510,35860.91400211581
304,11590520,17619.53113942093
305,11590530,43861.908393207115
306,11590540,22344.887761024493
307,11590550,18188.056268485518
308,11590560,23470.07039465478
309,11590605,30413.058421158123
310,11590620,25437.60206425389
311,11590630,30947.859762360797
312,11590640,19947.633132739415
313,11590650,13334.922767594651
314,11590651,11022.314312138082
315,11590660,41847.3295260579
316,11590670,16479.932250111353
317,11590680,23705.292724164803
318,11620525,17844.835831625827
319,11620545,9865.72766325167
320,11620565,23988.21068095768
321,11620575,24097.365831069033
322,11620585,22543.207591202667
323,11620595,38976.76238641425
324,11620605,27973.130183518926
325,11620615,17042.15160657015
326,11620625,24549.235081069033
327,11620630,22004.331808574607
328,11620645,22145.67539342984
329,11620655,16205.01219966592
330,11620665,17907.978077394204
331,11620685,21071.30816737193
332,11620695,27805.73999688195
333,11620715,11207.607582405342
334,11620725,26276.98698073496
335,11620735,30330.68746202672
336,11620745,21828.52066091313
337,11620765,22038.240718374156
338,11620775,18350.41122706013
339,11650510,31636.95684699331
340,11650520,40915.49142772828
341,11650530,64817.17427527839
342,11650531,40525.42870066814
343,11650540,33367.09273530066
344,11650550,7197.454505679286
345,11650560,31383.708295991084
346,11650570,16545.368657126943
347,11650580,20716.18246447661
348,11650581,41699.465753786186
349,11650590,20915.440059799548
350,11650600,21588.374230178168
351,11650610,20384.80623095768
352,11650620,18748.25017917594
353,11650621,25339.550268374158
354,11650651,50391.83927316258
355,11650652,36558.85257383073
356,11650660,24974.653052338526
357,11680510,34039.67538864142
358,11680521,41082.87742973273
359,11680531,40575.75914142538
360,11680545,40954.3177962138
361,11680565,43122.79281425389
362,11680580,35458.011132962136
363,11680590,37984.046067483294
364,11680600,28275.607535746098
365,11680610,48901.3550448775
366,11680630,37095.834594097985
367,11680640,96094.21667015587
368,11680650,51514.382361247204
369,11680655,35013.00243351892
370,11680656,30102.633087973267
371,11680660,8726.710822828507
372,11680670,21824.92601102449
373,11680690,15423.30585111358
374,11680700,45694.535504231615
375,11680720,25074.345007683736
376,11680730,17773.837303118034
377,11680740,15333.495442984406
378,11680750,23386.804769042308
379,11710510,15598.066365256118
380,11710520,37541.850748997764
381,11710531,12227.455767928726
382,11710532,15987.227591091309
383,11710540,13398.169134855229
384,11710550,16227.947046770596
385,11710561,19463.49001414253
386,11710562,32248.71132594654
387,11710566,17473.49114654788
388,11710570,37190.15113418707
389,11710580,30266.16921358574
390,11710590,19771.37519743875
391,11710600,34416.710136302885
392,11710610,31670.715208463243
393,11710620,38370.8017344098
394,11710631,27306.96171269487
395,11710632,28962.673553118035
396,11710641,20765.83107661469
397,11710642,38944.906737305115
398,11710646,33634.36296859688
399,11710647,38090.553775835186
400,11710650,33956.618744543426
401,11710670,32449.36853930957
402,11710680,38005.88747806236
403,11710690,19939.098163251663
404,11710710,36883.26927238307
405,11710720,9920.445863697101
406,11740515,44929.4483104677
407,11740520,36526.385630512246
408,11740530,28809.155062694874
409,11740540,16343.61675512249
410,11740550,25481.69638775055
411,11740560,17162.164750779502
412,11740570,30929.76000044543
413,11740580,13820.229318485519
414,11740590,14172.950541982178
415,11740600,38582.24489610245
416,11740610,45374.84932939866
417,11740620,29851.49831848552
418,11740640,24638.59837204899
419,11740650,25918.044399999995
420,11740660,27468.364994877502
421,11740685,50410.22029020044
422,11740690,5474.706923051224
423,11740700,26998.764716146987
